State,"Q-ADD - Heat Flow","Psteam - Phase - Molar Flow (Overall)","O2GFR - Phase - Molar Flow (Vapour Phase)","GFR-OUT - Temperature","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-Carbon)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-CO)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-CO2)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-Hydrogen)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-Methane)","Front_cal - Cell Matrix (F-5)","Front_cal - Cell Matrix (F-8)","Front_cal - Cell Matrix (C-7)","Front_cal - Cell Matrix (A-31)","Front_cal - Cell Matrix (D-31)","Front_cal - Cell Matrix (G-31)","Front_cal - Cell Matrix (I-5)","Front_cal - Cell Matrix (K-5)","gas2FT - Overall and Phase Comp Molar Flow (Overall-CO2)","Front_cal - Cell Matrix (M-3)","Front_cal - Cell Matrix (A-13)","Front_cal - Cell Matrix (A-5)","Front_cal - Cell Matrix (D-13)","Front_cal - Cell Matrix (A-25)","Front_cal - Cell Matrix (A-26)","Front_cal - Cell Matrix (A-27)","Front_cal - Cell Matrix (A-28)","Front_cal - Cell Matrix (A-29)","gas2FT - Overall and Phase Comp Molar Flow (Overall-Methane)","gas2FT - Overall and Phase Comp Molar Flow (Overall-CO)","gas2FT - Overall and Phase Comp Molar Flow (Overall-Hydrogen)"
,"MW","kgmole/h","kgmole/h","C","kgmole/h","kgmole/h","kgmole/h","kgmole/h","kgmole/h","MW","","","","","","kgmole/h","kg/h","kgmole/h","","","","","","","","","","kgmole/h","kgmole/h","kgmole/h"
"Case 55",0,540,371.5,1300,0.0000,730.6774,284.8453,640.9037,0.0575,83.23,83.23,0.5317,51.37,89.82,38.45,2539,2.676e+004,179.6515,7.906,0.8771,2.491,2.05,0,33.29,0,14.66,3.416,3.1400,832.3897,1706.3984
"Case 56",0,550,372.3,1300,0.0000,728.3214,287.2025,641.5987,0.0563,82.98,82.98,0.5416,51.26,89.64,38.37,2534,2.67e+004,181.4668,7.986,0.8809,2.496,2.051,0,33.19,0,14.62,3.45,3.0440,830.6614,1703.3223
"Case 57",0,560,373.1,1300,0.0000,725.9775,289.5476,642.2800,0.0551,82.69,82.69,0.5514,51.13,89.44,38.32,2529,2.664e+004,183.3127,8.068,0.8847,2.499,2.05,0,33.07,0,14.57,3.485,2.9467,828.9036,1699.6045
"Case 58",0,570,374,1300,0.0000,723.6455,291.8807,642.9478,0.0540,82.37,82.37,0.5613,50.98,89.25,38.27,2523,2.659e+004,185.1696,8.149,0.8885,2.502,2.05,0,32.95,0,14.51,3.52,2.8509,827.1330,1695.6220
"Case 59",0,580,374.8,1300,0.0000,721.3253,294.2020,643.6022,0.0529,82.12,82.12,0.5711,50.87,89.07,38.19,2518,2.653e+004,186.9734,8.229,0.8922,2.506,2.051,0,32.85,0,14.47,3.555,2.7644,825.4064,1692.5421
"Case 60",0,590,375.6,1300,0.0000,719.0168,296.5116,644.2433,0.0519,81.83,81.83,0.5809,50.74,88.88,38.14,2512,2.648e+004,188.8085,8.309,0.896,2.509,2.05,0,32.73,0,14.42,3.59,2.6766,823.6495,1688.8283
"Case 61",0,600,376.5,1300,0.0000,716.7198,298.8097,644.8714,0.0508,81.52,81.52,0.5908,50.6,88.68,38.09,2507,2.642e+004,190.6550,8.391,0.8998,2.512,2.05,0,32.61,0,14.36,3.625,2.5902,821.8796,1684.8525
"Case 62",0,610,377.3,1300,0.0000,714.4324,301.0980,645.4882,0.0498,81.28,81.28,0.6006,50.49,88.5,38.01,2502,2.636e+004,192.4476,8.47,0.9035,2.516,2.051,0,32.51,0,14.32,3.659,2.5122,820.1554,1681.7703
"Case 63",0,620,378.2,1300,0.0000,712.1583,303.3732,646.0904,0.0488,80.99,80.99,0.6105,50.36,88.31,37.95,2496,2.631e+004,194.2722,8.55,0.9072,2.519,2.05,0,32.4,0,14.27,3.694,2.4330,818.4000,1678.0617
"Case 64",0,630,379,1300,0.0000,709.8953,305.6372,646.6799,0.0478,80.68,80.68,0.6203,50.21,88.12,37.9,2491,2.625e+004,196.1086,8.631,0.911,2.522,2.05,0,32.27,0,14.21,3.728,2.3550,816.6314,1674.0938
"Case 65",0,640,379.8,1300,0.0000,707.6434,307.8900,647.2569,0.0469,80.44,80.44,0.6302,50.11,87.94,37.83,2486,2.62e+004,197.8901,8.709,0.9147,2.526,2.051,0,32.18,0,14.17,3.762,2.2846,814.9103,1671.0106
"Case 66",0,650,380.7,1300,0.0000,705.4024,310.1320,647.8215,0.0460,80.15,80.15,0.64,49.98,87.75,37.77,2480,2.614e+004,199.7045,8.789,0.9184,2.529,2.05,0,32.06,0,14.12,3.797,2.2131,813.1571,1667.3086
"Case 67",0,660,381.5,1300,0.0000,703.1722,312.3630,648.3738,0.0451,79.85,79.85,0.6499,49.84,87.55,37.71,2475,2.608e+004,201.5311,8.869,0.9221,2.531,2.05,0,31.94,0,14.07,3.832,2.1427,811.3904,1663.3497
"Case 68",0,670,382.4,1300,0.0000,700.9528,314.5834,648.9139,0.0442,79.61,79.61,0.6597,49.74,87.37,37.64,2470,2.603e+004,203.3019,8.947,0.9258,2.535,2.051,0,31.84,0,14.03,3.865,2.0792,809.6728,1660.2668
"Case 69",0,680,383.2,1300,0.0000,698.7439,316.7931,649.4420,0.0433,79.33,79.33,0.6696,49.61,87.18,37.57,2464,2.597e+004,205.1064,9.027,0.9294,2.538,2.05,0,31.73,0,13.98,3.9,2.0146,807.9222,1656.5721
"Case 70",0,690,384,1300,0.0000,696.5456,318.9923,649.9583,0.0425,79.02,79.02,0.6794,49.47,86.99,37.52,2459,2.591e+004,206.9235,9.107,0.9331,2.541,2.05,0,31.61,0,13.92,3.934,1.9510,806.1579,1652.6229
"Case 71",0,700,384.9,1300,0.0000,694.3576,321.1811,650.4628,0.0417,78.79,78.79,0.6893,49.36,86.81,37.44,2454,2.586e+004,208.6840,9.184,0.9368,2.545,2.051,0,31.52,0,13.88,3.968,1.8936,804.4441,1649.5412
"Case 72",0,710,385.7,1300,0.0000,692.1799,323.3596,650.9556,0.0409,78.51,78.51,0.6991,49.24,86.62,37.38,2449,2.58e+004,210.4788,9.263,0.9404,2.548,2.05,0,31.4,0,13.83,4.002,1.8353,802.6966,1645.8547
